,zip_code,neighborhood,community,rent_2024,mean_rent,0br_2019,0br_2020,0br_2021,0br_2022,0br_2023,population,median_household_income,unemployment_rate,average_household_size,crime_rate,average_temp,median_age,white_population,black_population,native_population,asian_population,latino_population,rent_growth_2019_to_2020,rent_growth_2020_to_2021,rent_growth_2021_to_2022,rent_growth_2022_to_2023,predicted_growth_2023_to_2024
53,90063,South Los Angeles,Los Angeles ,1333.0,1134.0,970.0,1050,1160,1240,1250,50227,69307,0.073,3.84,27.1,65.2,33.4,0.337,0.009,0.034,0.022,0.939,0.08247422680412371,0.10476190476190476,0.06896551724137931,0.008064516129032258,0.06606654123411002
54,90064,Rancho Park,Los Angeles ,2379.0,1992.0,1690.0,1920,2050,2080,2220,27553,123929,0.048,2.25,27.1,65.2,40.1,0.726,0.049,0.013,0.223,0.144,0.13609467455621302,0.06770833333333333,0.014634146341463415,0.0673076923076923,0.07143621163467552
55,90065,Glassell Park,Los Angeles ,1532.0,1228.0,1050.0,1150,1240,1280,1420,44328,88329,0.072,2.75,27.1,65.2,38.7,0.518,0.033,0.049,0.183,0.518,0.09523809523809523,0.0782608695652174,0.03225806451612903,0.109375,0.0787830073298604
56,90066,Culver City ,Los Angeles,2071.0,1704.0,1460.0,1630,1740,1760,1930,55304,100344,0.053,2.16,27.1,65.8,39.3,0.688,0.066,0.02,0.185,0.255,0.11643835616438356,0.06748466257668712,0.011494252873563218,0.09659090909090909,0.07300204517638575
57,90067,Century City ,Los Angeles ,2468.0,2018.0,1740.0,1920,2050,2080,2300,3344,125995,0.061,1.53,27.1,65.2,59.7,0.771,0.057,0.0,0.193,0.063,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
58,90068,Hollywood,Los Angeles ,2257.0,1812.0,1540.0,1690,1840,1900,2090,24361,97151,0.076,1.78,27.1,65.2,42.0,0.829,0.077,0.006,0.091,0.12,0.09740259740259741,0.08875739644970414,0.03260869565217391,0.1,0.07969217237611886
59,90069,West Hollywood,Los Angeles ,2414.0,2010.0,1740.0,1920,2050,2080,2260,20584,106133,0.079,1.54,9.3,65.2,44.0,0.889,0.037,0.013,0.09,0.078,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.08653846153846154,0.06808230426883181
60,90077,Bel Air,Los Angeles ,2468.0,2018.0,1740.0,1920,2050,2080,2300,8874,203194,0.082,2.58,6.4,65.2,46.6,0.878,0.039,0.004,0.11,0.059,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
61,90094,Playa Vista,Los Angeles ,2468.0,2018.0,1740.0,1920,2050,2080,2300,12746,156536,0.041,2.01,27.1,65.2,36.7,0.693,0.109,0.005,0.218,0.146,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
62,90201,Bell,Bell Gardens,1378.0,1170.0,1030.0,1110,1170,1240,1300,95810,53692,0.069,4.07,3.8,63.0,31.8,0.742,0.02,0.019,0.009,0.939,0.07766990291262135,0.05405405405405406,0.05982905982905983,0.04838709677419355,0.059985028392482195
63,90210,Beverly Hills,Beverly Hills,2468.0,2018.0,1740.0,1920,2050,2080,2300,21134,172285,0.043,2.26,4.8,64.3,50.9,0.907,0.027,0.004,0.085,0.06,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
64,90211,Beverly Hills,Beverly Hills,2197.0,1820.0,1600.0,1740,1860,1840,2060,8260,115025,0.091,2.26,4.8,64.3,42.6,0.719,0.034,0.002,0.217,0.083,0.0875,0.06896551724137931,-0.010752688172043012,0.11956521739130435,0.06631951161516017
65,90212,Beverly Hills,Beverly Hills,2454.0,2016.0,1740.0,1920,2050,2080,2290,11451,101963,0.111,2.26,4.8,64.3,47.1,0.814,0.033,0.013,0.178,0.084,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10096153846153846,0.07168807349960105
66,90220,Rancho Dominguez,Compton,1322.0,1146.0,1000.0,1080,1160,1240,1250,50412,69901,0.079,3.83,11.1,64.9,34.4,0.357,0.304,0.016,0.012,0.66,0.08,0.07407407407407407,0.06896551724137931,0.008064516129032258,0.05777602686112141
67,90221,East Rancho Dominguez,Compton,1326.0,1142.0,990.0,1070,1160,1240,1250,52561,64439,0.077,3.83,11.1,64.9,32.7,0.459,0.196,0.016,0.011,0.785,0.08080808080808081,0.08411214953271028,0.06896551724137931,0.008064516129032258,0.06048756592780066
68,90222,Willowbrook,Compton,1432.0,1196.0,1030.0,1140,1230,1240,1340,32397,68722,0.095,3.83,11.1,64.9,31.1,0.387,0.248,0.004,0.015,0.731,0.10679611650485436,0.07894736842105263,0.008130081300813009,0.08064516129032258,0.06862968187926063
69,90230,Culver City,Culver City,2127.0,1726.0,1490.0,1650,1740,1770,1980,32743,107870,0.049,2.26,7.2,64.3,40.8,0.686,0.113,0.008,0.196,0.301,0.10738255033557047,0.05454545454545454,0.017241379310344827,0.11864406779661017,0.07445336299699501
70,90232,Culver City,Culver City,2193.0,1796.0,1570.0,1700,1820,1840,2050,16452,113278,0.052,2.26,7.2,64.3,37.3,0.699,0.058,0.013,0.255,0.206,0.08280254777070063,0.07058823529411765,0.01098901098901099,0.11413043478260869,0.06962755720910949
